Rebounds Per Game
2003-04 NBA 10.5 (6th)
2009-10 NBA 11.7 (3rd)
2010-11 NBA 12.2 (3rd)
2012-13 NBA 11.2 (4th)
2013-14 NBA 10.1 (9th)
2014-15 NBA 10.5 (7th)
Active 9.3 (9th)
Career NBA 9.3 (75th)
Career 9.3 (84th)
