Total Rebound Pct
2009-10 NBA 18.2 (10th)
2010-11 NBA 20.1 (5th)
2012-13 NBA 19.3 (5th)
2014-15 NBA 18.5 (9th)
2016-17 NBA 19.4 (10th)
Active 17.4 (9th)
Career NBA 17.4 (31st)
Career 17.4 (35th)
