Offensive Rebound Pct
2009-10 NBA 12.6 (8th)
2010-11 NBA 14.2 (2nd)
2012-13 NBA 13.8 (4th)
Active 11.2 (10th)
Career NBA 11.2 (40th)
Career 11.2 (44th)
