2-Pt Field Goal Attempts
2003-04 NBA 1363 (3rd)
2006-07 NBA 1238 (5th)
2009-10 NBA 1284 (5th)
2013-14 NBA 1178 (8th)
Active 14100 (7th)
Career NBA 14100 (58th)
Career 14100 (63rd)
