Player,Sim,1,2,3,4,5
Nikola Vucevic,,7.0,5.7,5.2,4.4,1.8
Gene Moore,98.1,6.8,5.7,5.0,4.5,1.9
Andrew Bogut,92.0,7.5,5.5,4.8,4.0,2.6
Joe Barry Carroll,91.7,7.0,5.7,5.5,4.7,3.4
Nate Thurmond,91.6,7.2,6.1,5.2,4.3,3.5
Rick Mahorn,90.3,6.2,5.9,4.8,3.6,1.8
James Donaldson,88.9,5.8,5.6,5.1,5.0,2.5
Theo Ratliff,88.6,6.7,5.6,5.4,3.9,3.8
LaSalle Thompson,88.3,5.6,5.3,4.9,4.5,2.3
Neal Walk,88.3,7.1,6.8,6.1,5.1,2.1
DeMarcus Cousins,87.7,7.9,6.0,4.4,4.2,1.1
