Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Nikola Vucevic,,7.0,5.7,5.2,4.4,1.8,,,,,,,
Gene Moore,95.2,6.8,5.7,5.0,4.5,1.9,0.8,0.0,,,,,
DeMarcus Cousins,81.9,7.9,6.0,5.7,4.4,4.2,1.1,,,,,,
George Ratkovicz,81.8,9.3,6.0,5.4,5.2,2.8,-0.1,,,,,,
Neal Walk,79.7,7.1,6.8,6.1,5.1,2.1,1.7,1.2,0.2,,,,
Mike Lewis,79.2,7.9,7.5,4.0,3.8,1.1,0.0,,,,,,
Bob Rule,79.1,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0.0,,,,
Steve Stipanovich,77.2,9.0,6.9,5.9,5.0,3.6,,,,,,,
Tom Burleson,77.1,8.2,4.4,4.3,3.3,2.7,0.2,-0.1,,,,,
Tim McCormick,77.0,6.0,4.6,3.9,3.8,2.0,1.1,0.2,-0.1,,,,
Darrall Imhoff,76.6,8.2,5.9,5.0,4.9,2.4,2.1,0.9,0.7,0.7,0.0,-0.2,-0.6
