Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Chris Andersen,,6.0,5.9,5.4,4.5,3.6,3.2,2.7,2.4,1.9,1.3,1.3,1.1,0.3,0.0
Rod Higgins,91.3,5.9,5.7,5.3,5.0,3.8,3.7,2.5,2.0,1.4,1.3,1.0,0.1,0.0,
Tom Van Arsdale,90.4,5.5,5.0,4.8,4.4,4.0,3.1,2.7,2.2,1.6,1.4,1.1,1.0,,
Terry Tyler,90.0,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9,1.2,1.2,,,
Sam Mitchell,89.1,6.1,5.1,5.1,4.3,3.7,3.3,3.0,2.8,2.3,2.3,2.2,0.9,0.6,
Chuck Person,89.1,5.5,5.4,5.4,4.6,3.9,3.6,3.3,3.0,2.1,1.2,0.9,0.0,-0.1,
Matt Barnes,88.3,6.3,5.9,4.3,4.3,3.7,3.5,3.0,3.0,2.6,2.3,1.0,0.7,0.4,
Willie Naulls,88.1,5.7,5.5,5.3,4.6,3.9,2.6,2.6,1.8,1.8,0.4,,,,
Danny Ferry,87.5,5.6,5.5,4.1,3.9,3.6,2.7,2.3,1.7,1.7,1.3,1.0,1.0,0.3,
John Johnson,87.4,6.2,4.9,4.6,4.3,4.0,2.7,2.5,2.3,2.1,2.1,1.2,0.2,,
Antoine Walker,86.6,6.7,6.6,5.0,4.7,3.9,3.6,2.6,2.6,1.7,0.9,0.1,-0.3,,
