Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2002-03,22,DET,NBA,SF,42,435,,,63%,35%,2%,-3.3,-8.4,10,6,5,16,,2,,54,5,3,11
2003-04,23,DET,NBA,SF,82,2701,,,92%,8%,,+6.8,+0.8,55,38,26,80,,16,,413,61,23,58
2004-05,24,DET,NBA,SF,82,3039,,,97%,3%,,+7.5,+12.2,69,41,25,93,,13,,543,127,34,77
2005-06,25,DET,NBA,SF,82,2898,,,99%,1%,,+12.6,+16.4,35,36,20,54,,8,,432,109,34,63
2006-07,26,DET,NBA,SF,82,3001,,,92%,8%,,+5.6,+3.7,47,29,22,72,,6,,509,98,26,46
2007-08,27,DET,NBA,SF,82,2694,,,98%,2%,,+9.9,+4.0,49,27,15,52,,6,,602,103,25,42
2008-09,28,DET,NBA,SF,82,3057,,3%,81%,16%,1%,-1.6,-4.6,41,44,16,57,,4,,572,99,20,38
2009-10,29,DET,NBA,SF,49,1664,,6%,87%,7%,,-4.7,+1.9,22,27,11,35,,4,,361,44,12,19
2010-11,30,DET,NBA,SF,78,2562,,3%,89%,8%,,-3.0,+2.5,43,24,15,56,,6,,487,79,19,28
2011-12,31,DET,NBA,SF,63,2087,,5%,92%,3%,,-6.7,-3.3,40,25,9,46,,4,,340,43,5,27
2012-13,32,TOT,NBA,SF,82,2631,,2%,92%,6%,,+2.5,+3.5,46,29,14,0,,0,0,448,0,8,32
2012-13,32,DET,NBA,SF,45,1457,,3%,95%,2%,,-3.8,+0.8,29,20,5,24,,1,1,259,33,5,23
2012-13,32,MEM,NBA,SF,37,1174,,1%,88%,11%,,+10.6,+8.3,17,9,9,22,,5,3,189,17,3,9
2013-14,33,MEM,NBA,SF,76,1948,,3%,94%,3%,,+1.3,-1.5,26,11,4,42,0,2,2,257,23,4,14
2014-15,34,TOT,NBA,SF,58,1397,,,65%,35%,,+6.9,+7.3,20,10,5,0,0,0,0,208,0,3,9
2014-15,34,MEM,NBA,SF,26,628,,,63%,37%,,-0.3,-4.4,8,5,0,11,1,0,0,83,9,1,7
2014-15,34,BOS,NBA,SF,9,198,,,47%,53%,,+6.9,+7.3,3,0,1,1,0,1,1,40,0,0,0
2014-15,34,DET,NBA,SF,23,571,,,73%,27%,,-12.6,-13.0,9,5,2,13,0,1,1,85,9,2,2
2015-16,35,MIN,NBA,SF,77,1462,,,84%,16%,,-2.8,+0.9,13,9,5,34,4,2,5,163,8,1,4
