Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,1017,31576,.455,12.3,.846,.250,.166,.144,.286,.154,.470,.655,.404,.374,.396,.367,.553,.058,545,.970,.559,.408,4,0
12 seasons,,DET,NBA,,792,26166,.459,12.1,.843,.262,.163,.145,.273,.157,.475,.649,.407,.378,.400,.371,.542,.061,498,.969,.538,.415,4,0
3 seasons,,MEM,NBA,,139,3750,.414,13.6,.859,.179,.195,.135,.350,.141,.425,.702,.386,.316,.347,.350,.615,.045,41,.980,.706,.396,0,0
1 season,,MIN,NBA,,77,1462,.445,14.4,.900,.127,.140,.127,.507,.100,.476,.759,.375,.483,.431,.174,.745,.022,5,1.000,.957,.182,0,0
1 season,,BOS,NBA,,9,198,.559,13.9,.864,.169,.153,.237,.305,.136,.549,.900,.444,.357,.556,.625,.429,.017,1,1.000,.500,.750,0,0
