Player,Sim,1,2,3,4,5,6,7,8,9
Jordan Farmar,,3.9,2.8,1.9,1.8,0.9,0.8,0.7,0.6,0.4
Frank Johnson,84.4,4.3,3.0,2.1,1.9,1.6,1.5,0.6,0.5,0.5
Marquis Daniels,82.3,4.2,3.2,2.5,2.0,1.3,1.3,0.9,0.6,0.1
Charles Johnson,82.2,3.7,2.8,2.4,1.4,1.1,1.0,0.9,,
John Barnhill,82.0,4.6,2.5,1.7,1.1,1.0,1.0,0.7,0.4,0.3
Dudley Bradley,80.2,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1.0,0.0
Quintin Dailey,80.2,3.7,2.6,2.1,2.0,1.3,1.0,0.3,0.1,-0.3
Eddie House,79.9,4.9,3.9,1.9,1.8,1.6,0.9,0.7,0.7,0.4
Shaun Livingston,79.6,4.4,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Anthony Bowie,79.5,2.9,2.5,2.0,1.6,1.3,0.7,0.7,0.5,
Robert Pack,79.5,3.1,2.7,2.2,1.7,1.1,1.1,0.7,0.4,-0.6
