Player,Sim,1,2,3,4,5,6,7,8
Jeff Green,,6.6,5.2,4.8,4.7,4.2,3.3,3.1,0.2
Larry Smith,93.5,6.1,5.4,5.2,4.7,4.3,4.0,3.1,0.3
Mike Bantom,92.9,5.9,5.2,4.8,4.5,4.4,3.9,2.7,0.5
Mark Olberding,91.4,6.6,5.1,5.1,4.3,4.2,3.9,3.1,2.3
Robert Reid,91.2,7.2,5.2,4.9,4.5,4.4,3.5,3.0,2.3
Jerome Williams,90.4,7.6,5.4,5.0,4.8,4.5,4.3,3.5,0.2
Juwan Howard,90.1,7.0,5.6,4.9,4.6,4.4,2.8,2.8,1.9
Glenn Robinson,90.1,6.7,4.8,4.7,4.7,4.0,3.5,3.2,3.1
Larry Siegfried,89.9,6.4,5.8,5.6,5.1,3.5,3.2,2.9,0.5
Jim Washington,89.5,6.7,5.5,5.4,4.9,4.3,3.6,1.3,0.5
Robert Horry,89.4,6.6,5.9,5.7,4.9,4.2,3.6,2.9,1.7
