Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,21,BOS,NBA,SG,7,3,115,3.4,6.6,.524,1.6,3.4,.455,1.9,3.1,.600,0.6,1.3,.500,0.6,2.2,2.8,1.3,2.2,0.3,0.6,5.3,9.1
2007-08,24,CLE,NBA,PG,13,13,453,3.5,8.7,.400,1.4,3.3,.429,2.1,5.4,.382,2.8,3.3,.854,0.6,2.8,3.4,4.3,1.2,0.5,2.5,3.2,11.2
2008-09,25,CLE,NBA,SG,14,14,591,4.4,9.6,.465,0.7,2.2,.333,3.7,7.4,.504,2.1,2.6,.833,0.4,2.6,3.0,3.5,1.2,0.4,2.1,1.7,11.8
2009-10,26,CLE,NBA,SG,11,0,269,3.7,9.0,.418,0.4,2.5,.158,3.3,6.4,.521,2.0,2.1,.938,0.8,2.0,2.8,3.9,1.2,0.4,2.5,2.1,9.9
2010-11,27,BOS,NBA,PG,9,0,170,4.7,10.0,.468,1.5,4.0,.368,3.2,5.9,.536,1.7,2.1,.800,0.8,2.8,3.6,2.5,1.1,0.0,2.5,3.4,12.5
2011-12,28,DAL,NBA,PG,4,3,88,4.5,10.6,.423,1.2,2.5,.500,3.3,8.2,.400,2.0,2.0,1.000,0.8,2.0,2.9,3.3,1.2,0.0,1.2,2.0,12.3
