Offensive Rebound Pct
2008-09 NBA 14.5 (2nd)
2009-10 NBA 12.9 (6th)
2010-11 NBA 13.9 (3rd)
2011-12 NBA 14.1 (4th)
2016-17 NBA 16.5 (1st)
Active 13.1 (2nd)
Career NBA 13.1 (10th)
Career 13.1 (10th)
