Defensive Box Plus/Minus
2009-10 NBA 3.3 (7th)
2010-11 NBA 4.2 (3rd)
2011-12 NBA 4.0 (2nd)
2012-13 NBA 5.1 (1st)
2013-14 NBA 5.5 (2nd)
2014-15 NBA 3.6 (7th)
2016-17 NBA 3.1 (6th)
Active 4.0 (1st)
Career NBA 4.0 (7th)
Career 4.0 (7th)
