Player,Sim,1,2,3,4,5,6,7,8,9
Joakim Noah,,11.2,9.0,7.3,6.7,6.4,6.2,5.6,3.8,1.1
Swen Nater,91.1,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2
Vlade Divac,90.6,9.5,8.3,7.4,7.3,6.1,5.9,5.6,5.0,1.8
Marc Gasol,88.7,11.5,10.2,8.4,8.2,7.9,6.4,5.6,3.7,
Clifford Ray,88.4,8.7,8.2,8.1,7.0,6.9,6.7,5.7,3.8,1.9
Tom Owens,88.3,10.4,8.3,8.0,6.9,6.9,6.0,2.9,2.5,0.9
Arnie Risen,87.7,10.6,9.3,7.8,6.8,5.8,4.6,3.9,2.7,2.6
Jim Eakins,85.0,9.0,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9
Dave Robisch,84.7,10.1,9.1,8.6,8.5,7.8,5.2,5.0,2.3,2.3
Nate Thurmond,83.5,9.0,7.2,7.2,6.5,6.1,5.2,4.3,3.7,3.5
Alvan Adams,82.1,7.7,7.6,7.2,7.2,7.0,6.5,6.3,4.9,3.3
