Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Joakim Noah,,11.2,9.0,7.3,6.7,6.4,6.2,5.6,3.8,1.1,,,,
Swen Nater,89.8,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1,,
Marc Gasol,88.7,11.5,10.2,8.4,8.2,7.9,6.4,5.6,3.7,,,,,
Clifford Ray,88.0,8.7,8.2,8.1,7.0,6.9,6.7,5.7,3.8,1.9,-0.3,,,
Tom Owens,86.3,10.4,8.3,8.0,6.9,6.9,6.0,4.8,3.2,2.9,2.5,0.9,0.6,
Arnie Risen,85.8,10.6,9.3,7.8,6.8,5.8,4.6,3.9,2.7,2.6,1.8,,,
Jim Eakins,84.1,9.0,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9,,,
Dave Robisch,83.0,10.1,9.1,8.6,8.5,7.8,5.2,5.0,4.2,2.3,2.3,0.7,0.4,0.1
Zydrunas Ilgauskas,82.6,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5.0,2.9,2.5,2.5,0.7,0.5
Arvydas Sabonis,81.5,9.7,8.4,7.5,7.1,5.8,4.9,3.7,,,,,,
Brad Daugherty,81.4,12.7,11.7,9.6,9.0,6.6,6.4,6.0,3.1,,,,,
