Player,Sim,1,2,3,4,5
Jamal Sampson,,0.5,0.4,0.2,0.2,0.0
Roderick McDonald,75.7,0.5,0.5,0.2,,
Bill Curley,74.5,0.7,0.5,0.2,0.2,0.0
Obinna Ekezie,73.3,0.7,0.5,0.4,0.2,
Anthony Cook,70.8,0.5,0.4,0.1,0.1,
Hank McDowell,70.4,0.7,0.4,0.4,0.2,0.1
Adrian Caldwell,70.3,0.4,0.3,0.2,0.1,0.0
Daniel Orton,69.0,0.5,0.3,0.3,,
Mark Randall,66.3,0.5,0.3,0.2,0.0,
Henry James,63.7,0.6,0.3,0.2,0.1,0.1
Michael Smith,60.9,0.7,0.3,0.3,,
