Player,Sim,1,2,3,4,5,6,7,8,9
Rick Brunson,,1.9,0.7,0.6,0.6,0.3,-0.1,-0.1,-0.2,-0.2
John Warren,71.0,1.7,0.9,0.8,0.5,0.3,,,,
Kevin McKenna,69.8,1.7,0.9,0.7,0.6,0.5,-0.3,,,
Doug Overton,68.4,1.7,0.9,0.6,0.4,0.2,0.1,-0.2,-0.3,-0.4
A.J. Price,63.4,2.2,1.2,0.7,0.3,0.3,0.0,,,
Lloyd Walton,59.7,1.9,1.1,1.1,1.1,0.1,,,,
Mike Davis,59.5,2.2,1.2,0.9,0.6,,,,,
Mo Layton,59.0,1.9,1.1,1.0,0.3,0.1,,,,
Felipe Lopez,58.1,1.9,0.5,0.4,0.3,,,,,
Dion Glover,57.6,2.6,1.1,0.9,0.8,0.3,0.2,,,
James Anderson,56.8,1.9,0.9,0.5,0.3,-0.3,,,,
