id,Pos,GS,FGptg,X3Pptg,PF,PTS,AST,Salary
87,PG,36.66666667,0.405,0.364,3.866666667,11.7,4.333333333,661830.6667
88,C,0,0.5,0,0,24,12,29843
89,PG,62.71428571,0.401571429,0.379714286,2.3,14,5.185714286,9374024
90,C,34.44444444,0.627888889,0,5.477777778,8.044444444,1.311111111,6720112.889
91,SG,55.77777778,0.402888889,0.379777778,2.255555556,17.06666667,6.166666667,8808244.444
92,C,34,0.51725,0,3.775,7.7,0.525,3182319.5
93,C,39,0.575,0,4.8,11.4,1.3,507336
94,PF,29.83333333,0.5175,0,5.466666667,14.21666667,1.65,1125984.5
95,PG,33,0.4009,0.3825,2.22,9.5,5.94,3383700
96,PG,0,0.3,0.2,2,5.4,3.7,412718
97,PF,21.22222222,0.451222222,0.229444444,4.388888889,15.46666667,2.211111111,3472796.222
98,PG,31.8,0.4364,0.3108,2.9,14.56,5.7,3917893.2
99,C,45.5,0.466,0.27075,3.4,14.075,1.05,7304749
100,SG,28,0.406125,0.36475,3.1875,9.175,1.9125,2160503.875
101,SF,28,0.453,0.355,2,13.6,1.3,3278000
102,C,56.4,0.5279,0.12,3.81,12.53,2.78,9326528.3
103,PF,11,0.4498,0.4082,3.29,12.36,1.54,2824387
104,PF,22,0.5218,0.169,3.6,11.72,1.46,2247116
105,PF,22,0.545,0,3.95,10.85,0.925,1364022
106,C,0.75,0.43225,0.25,6.4,6.9,1.2,4326708
107,PF,59.5,0.5183,0,3.57,19.25,2.65,13422909.9
108,C,68.4,0.4994,0.2876,2.32,20.4,2.09,13800811.3
109,SF,63.75,0.41675,0.414,2.65,6.95,1.4,3812500
110,SF,6.5,0.59175,0.034,6,9.2,1.05,821464.5
111,PG,4.8,0.411,0.3516,1.58,15.46,5.6,1755386.6
112,SG,5,0.282,0.154,5.8,4.7,1.6,412718
113,PF,0.5,0.2615,0.1665,2.9,8.85,2.2,1355940
114,SG,42.6,0.422,0.2942,3.18,13.82,2.24,2855176.6
115,PF,1,0.405,0.2,3.8,6.6,1.7,819550
116,C,42.3,0.4903,0.1333,3.51,15.09,1.9,12853949.5
117,SF,34.57142857,0.426,0.294428571,3.314285714,13.95714286,2.5,3383180
118,SF,38,0.44275,0.20775,1.6375,10.6375,2.4375,2452281.125
119,C,34.25,0.444,0.08325,6.05,11.1,0.725,2339393
120,PF,3.333333333,0.459333333,0,5.866666667,6.966666667,1.2,819196
121,PG,26,0.414142857,0.362571429,3.271428571,16.57142857,5.128571429,1996121.571
122,SG,16.33333333,0.449,0.368666667,2.866666667,16.4,2.9,1171160
123,PF,0.333333333,0.403666667,0,5.4,9.5,0.733333333,353672
124,PG,0,0.371,0.265,2.9,14.9,6.1,736420
125,SG,25,0.3908,0.3278,2.98,13.32,2.68,1372583.2
126,PG,5.5,0.347,0.253,4,6.9,5.8,325642.5
127,SF,6,0.515333333,0.345333333,3.233333333,12.4,1.7,691390.6667
128,SG,5,0.412,0.371,2.1,14.4,2.5,44765
129,C,23.375,0.51975,0,4.3,9.375,1.4125,5470099.875
