Assists Per Game
1997-98 NBA 8.0 (10th)
1999-00 NBA 9.0 (3rd)
2000-01 NBA 7.6 (8th)
2003-04 NBA 7.3 (5th)
Career NBA 6.0 (61st)
Career 6.0 (62nd)
