Player,Sim,1,2,3,4,5,6,7
Stanislav Medvedenko,,3.0,1.8,0.5,0.4,0.2,0.1,0.0
Dave Lattin,90.6,3.2,2.0,0.6,0.4,0.2,,
Barney Cable,86.9,3.3,1.6,0.7,0.4,0.3,0.1,
Terry Davis,85.4,3.1,2.0,0.5,0.5,0.5,0.4,-0.1
Lou Amundson,85.0,2.9,1.8,1.0,0.6,0.1,0.1,0.1
Reggie Williams,82.8,3.7,1.7,0.3,0.3,0.2,0.0,
Lorenzo Williams,81.0,3.1,1.7,1.1,0.4,0.4,0.3,0.3
Ekpe Udoh,78.9,2.7,2.1,0.7,0.3,0.0,,
DerMarr Johnson,77.7,3.2,1.7,1.3,0.4,0.1,0.0,-0.3
Mike Farmer,75.9,3.2,1.8,1.3,0.1,0.1,-0.1,-0.1
Darko Milicic,75.0,3.3,1.9,1.2,0.7,0.2,-0.2,-0.2
