Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Career,,,NBA,,12,57,14.4,.629,.125,.438,4.2,26.7,15.6,3.5,1.0,2.6,17.3,19.3,,0.1,0.1,0.1,.110,,-4.5,0.4,-4.1,0.0
1 season,,ORL,NBA,,6,43,12.5,.672,.000,.600,2.8,27.3,15.2,4.6,1.3,0.0,24.0,18.6,,0.0,0.1,0.1,.101,,-4.9,0.6,-4.3,0.0
2 seasons,,PHO,NBA,,6,14,20.3,.543,.333,.167,8.7,24.7,17.0,0.0,0.0,10.6,0.0,21.4,,0.0,0.0,0.0,.138,,-3.1,-0.2,-3.3,0.0
