Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Ersan Ilyasova,,6.7,6.4,5.8,4.4,4.0,3.8,1.6,1.0,,,
Campy Russell,90.5,6.7,6.7,6.6,5.5,4.3,3.2,1.8,1.1,-0.1,,
Loy Vaught,90.3,6.3,6.3,5.5,5.5,4.2,4.1,2.2,1.0,0.5,0.2,-0.2
Wil Jones,89.5,7.4,6.9,6.0,5.4,4.0,3.7,2.3,0.9,0.6,,
Danilo Gallinari,89.4,7.2,6.3,6.1,5.6,3.9,3.9,1.0,,,,
Jim Pollard,87.6,7.2,5.7,5.7,5.4,4.6,4.2,2.1,,,,
Larry Siegfried,87.2,6.4,5.8,5.6,5.1,3.5,3.2,2.9,0.5,0.1,,
Lonnie Shelton,87.0,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.5,0.1,
Ed Davis,86.6,6.7,6.3,5.4,4.0,3.9,2.6,,,,,
Gene Banks,86.3,7.9,6.2,5.6,4.3,3.6,3.5,,,,,
Carl Landry,85.9,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,,
