Player,Sim,1,2,3,4,5,6,7,8
Ersan Ilyasova,,6.7,6.4,5.8,4.4,4.0,3.8,1.6,1.0
Junior Bridgeman,91.9,6.7,6.1,5.5,4.8,4.0,3.6,2.6,2.1
Robert Horry,91.4,6.6,5.9,5.7,4.9,4.2,3.6,2.9,1.7
Campy Russell,90.8,6.7,6.7,6.6,5.5,4.3,3.2,1.8,1.1
Jim Washington,90.8,6.7,5.5,5.4,4.9,4.3,3.6,1.3,0.5
Wil Jones,90.1,7.4,6.9,6.0,5.4,4.0,3.7,2.3,0.6
Danilo Gallinari,89.4,7.2,6.3,6.1,5.6,3.9,3.9,1.0,
Antoine Walker,89.2,6.7,6.6,5.0,4.7,3.9,2.6,2.6,1.7
Loy Vaught,89.1,6.3,6.3,5.5,5.5,4.2,4.1,2.2,-0.2
Kenyon Martin,89.1,7.1,6.7,5.3,5.0,4.9,3.8,2.1,0.0
Eddie Johnson,89.0,7.4,6.5,5.6,5.3,4.3,4.0,3.0,1.8
