player_id,positions,height,weight,shoots,team,birthday,birthyear,birth_place,debut_date,experience
boozeca01,"['Power Forward', 'Center']",6-9,258,Right,,November 20,1981,"Aschaffenburg, Germany","October 29, 2002",
cartevi01,"['Shooting Guard', 'Small Forward']",6-6,220,Right,Memphis Grizzlies,January 26,1977,"Daytona Beach, Florida","February 5, 1999",18
martike02,"['Shooting Guard', 'Point Guard']",6-7,199,Right,,February 1,1983,"Zanesville, Ohio","November 2, 2004",
terryja01,"['Shooting Guard', 'Point Guard']",6-2,185,Right,Milwaukee Bucks,September 15,1977,"Seattle, Washgton","November 2, 1999",17
johnsjo02,"['Shooting Guard', 'Small Forward']",6-7,240,Right,Utah Jazz,June 29,1981,"Little Rock, Arkansas","October 30, 2001",15
gasolma01,['Center'],7-1,255,Right,Memphis Grizzlies,January 29,1985,"Barcelona, Spa","October 29, 2008",8
kiddja01,"['Point Guard', 'Shooting Guard']",6-4,205,Right,,March 23,1973,"San Francisco, California","November 5, 1994",
randoza01,"['Power Forward', 'Center']",6-9,260,Left,Memphis Grizzlies,July 16,1981,"Marion, Indiana","October 30, 2001",15
noahjo01,['Center'],6-11,230,Right,New York Knicks,February 25,1985,"New York, New York","November 6, 2007",9
millean02,"['Point Guard', 'Shooting Guard']",6-3,200,Right,,March 19,1976,"Los Angeles, California","November 2, 1999",17
loveke01,"['Power Forward', 'Center']",6-10,251,Right,Cleveland Cavaliers,September 7,1988,"Santa Monica, California","October 29, 2008",8
wallage01,"['Small Forward', 'Power Forward']",6-7,215,Right,,July 23,1982,"Sylacauga, Alabama","October 30, 2001",
horfoal01,['Center'],6-10,245,Right,Boston Celtics,June 3,1986,"Puerto Plata, Domican Republic","November 2, 2007",9
brandel01,"['Power Forward', 'Center']",6-8,275,Right,,March 11,1979,"Cortlandt Manor, New York","November 3, 1999",
curryst01,['Point Guard'],6-3,190,Right,Golden State Warriors,March 14,1988,"Akron, Ohio","October 28, 2009",7
westbru01,['Point Guard'],6-3,200,Right,Oklahoma City Thunder,November 12,1988,"Long Beach, California","October 29, 2008",8
caldejo01,"['Point Guard', 'Shooting Guard']",6-3,200,Right,Los Angeles Lakers,September 28,1981,"Villanueva de la Serena, Spa","November 2, 2005",11
odomla01,"['Power Forward', 'Small Forward']",6-10,220,Left,,November 6,1979,"Jamaica, New York","November 2, 1999",
battish01,"['Small Forward', 'Shooting Guard']",6-8,220,Right,,September 9,1978,"Birmgham, Michigan","November 1, 2001",
griffbl01,['Power Forward'],6-10,251,Right,Los Angeles Clippers,March 16,1989,"Oklahoma City, Oklahoma","October 27, 2010",6
jefferi01,['Small Forward'],6-7,233,Right,Cleveland Cavaliers,June 21,1980,"Los Angeles, California","October 30, 2001",15
korveky01,"['Shooting Guard', 'Small Forward', 'Power Forward']",6-7,212,Right,Cleveland Cavaliers,March 17,1981,"Lakewood, California","October 28, 2003",13
smithjo03,"['Power Forward', 'Small Forward']",6-9,225,Left,,December 5,1985,"College Park, Georgia","November 3, 2004",12
grangda01,['Small Forward'],6-9,222,Right,,April 20,1983,"New Orleans, Louisiana","November 2, 2005",
lowryky01,['Point Guard'],6-1,196,Right,Toronto Raptors,March 25,1986,"Philadelphia, Pennsylvania","November 1, 2006",10
hilarne01,"['Center', 'Power Forward']",6-11,250,Right,Houston Rockets,September 13,1982,"Sao Carlos, Brazil","October 30, 2002",14
jamisan01,"['Power Forward', 'Small Forward']",6-8,223,Right,,June 12,1976,"Shreveport, Louisiana","February 6, 1999",
lewisra02,"['Small Forward', 'Power Forward']",6-10,215,Right,,August 8,1979,"Peville, Louisiana","February 9, 1999",
conlemi01,['Point Guard'],6-1,175,Left,Memphis Grizzlies,October 11,1987,"Fayetteville, Arkansas","November 7, 2007",9
rondora01,['Point Guard'],6-1,186,Right,Chicago Bulls,February 22,1986,"Louisville, Kentucky","November 1, 2006",10
diawbo01,"['Power Forward', 'Shooting Guard']",6-8,250,Right,Utah Jazz,April 16,1982,"Cormeille-en-Parisis, France","October 29, 2003",13
princta01,['Small Forward'],6-9,212,Left,,February 28,1980,"Compton, California","October 30, 2002",14
dunlemi02,"['Small Forward', 'Shooting Guard', 'Power Forward']",6-9,230,Right,Atlanta Hawks,September 15,1980,"Fort Worth, Texas","October 30, 2002",14
bogutan01,"['Center', 'Power Forward']",7-0,260,Right,Dallas Mavericks,November 28,1984,"Melbourne, Australia","November 1, 2005",11
jordade01,['Center'],6-11,265,Left,Los Angeles Clippers,July 21,1988,"Houston, Texas","November 1, 2008",8
harride01,"['Point Guard', 'Shooting Guard']",6-3,192,Right,Dallas Mavericks,February 27,1983,"Milwaukee, Wiscons","November 2, 2004",12
crawfja01,"['Shooting Guard', 'Point Guard']",6-5,200,Right,Los Angeles Clippers,March 20,1980,"Seattle, Washgton","October 31, 2000",16
turkohe01,"['Small Forward', 'Power Forward']",6-10,220,Right,,March 19,1979,"Istanbul, Turkey","November 1, 2000",
varejan01,"['Center', 'Power Forward']",6-10,273,Right,Golden State Warriors,September 28,1982,"Santa Teresa, Brazil","November 4, 2004",12
ibakase01,['Power Forward'],6-10,235,Right,Orlando Magic,September 18,1989,"Brazzaville, Republic of the Congo","October 30, 2009",7
nelsoja01,['Point Guard'],6-0,190,Right,Denver Nuggets,February 9,1982,"Chester, Pennsylvania","November 3, 2004",12
hillge01,['Point Guard'],6-3,188,Right,Utah Jazz,May 4,1986,"Indianapolis, Indiana","November 4, 2008",8
kirilan01,"['Small Forward', 'Power Forward']",6-9,220,Right,,February 18,1981,"Izhevsk, Russia","October 30, 2001",
gayru01,['Small Forward'],6-8,230,Right,Sacramento Kings,August 17,1986,"Brooklyn, New York","November 1, 2006",10
richaja01,"['Shooting Guard', 'Small Forward']",6-6,220,Right,,January 20,1981,"Sagaw, Michigan","October 31, 2001",
scolalu01,['Power Forward'],6-9,240,Right,Brooklyn Nets,April 30,1980,"Buenos Aires, Argenta","October 30, 2007",9
willima02,"['Small Forward', 'Power Forward']",6-9,237,Right,Charlotte Hornets,June 19,1986,"Bremerton, Washgton","November 2, 2005",11
cambyma01,"['Center', 'Power Forward']",6-11,220,Right,,March 22,1974,"Hartford, Connecticut","November 1, 1996",
gortama01,"['Center', 'Power Forward']",6-11,240,Right,Washington Wizards,February 17,1984,"Lodz, Poland","March 1, 2008",9
hinriki01,"['Point Guard', 'Shooting Guard']",6-4,190,Right,,January 2,1981,"Sioux City, Iowa","November 7, 2003",13
dalemsa01,['Center'],6-11,255,Right,,May 10,1981,"Port-Au-Prce, Haiti","December 4, 2001",13
okafoem01,"['Center', 'Power Forward']",6-10,252,Right,,September 28,1982,"Houston, Texas","November 4, 2004",
collini01,"['Power Forward', 'Center']",6-10,255,Right,Oklahoma City Thunder,October 26,1980,"Orange City, Iowa","November 3, 2004",12
johnsam01,"['Power Forward', 'Small Forward']",6-9,240,Right,Boston Celtics,May 1,1987,"Los Angeles, California","January 24, 2006",11
arizatr01,"['Small Forward', 'Shooting Guard']",6-8,215,Right,Houston Rockets,June 30,1985,"Miami, Florida","November 3, 2004",12
lopezbr01,['Center'],7-0,275,Right,Brooklyn Nets,April 1,1988,"North Hollywood, California","October 29, 2008",8
smithjr01,"['Shooting Guard', 'Small Forward']",6-6,225,Right,Cleveland Cavaliers,September 9,1985,"Freehold, New Jersey","November 3, 2004",12
youngth01,['Power Forward'],6-8,221,Left,Indiana Pacers,June 21,1988,"New Orleans, Louisiana","November 7, 2007",9
butleca01,"['Small Forward', 'Shooting Guard']",6-7,228,Right,,March 13,1980,"Race, Wiscons","October 30, 2002",14
