id,name,name-display,href
mayooj01,"Mayo,O.J.",O.J. Mayo,http://www.basketball-reference.com/players/m/mayooj01.html
evansty01,"Evans,Tyreke",Tyreke Evans,http://www.basketball-reference.com/players/e/evansty01.html
thompkl01,"Thompson,Klay",Klay Thompson,http://www.basketball-reference.com/players/t/thompkl01.html
childjo01,"Childress,Josh",Josh Childress,http://www.basketball-reference.com/players/c/childjo01.html
hicksjj01,"Hickson,J.J.",J.J. Hickson,http://www.basketball-reference.com/players/h/hicksjj01.html
duhonch01,"Duhon,Chris",Chris Duhon,http://www.basketball-reference.com/players/d/duhonch01.html
jonesja02,"Jones,James",James Jones,http://www.basketball-reference.com/players/j/jonesja02.html
meeksjo01,"Meeks,Jodie",Jodie Meeks,http://www.basketball-reference.com/players/m/meeksjo01.html
warriha01,"Warrick,Hakim",Hakim Warrick,http://www.basketball-reference.com/players/w/warriha01.html
gordoer01,"Gordon,Eric",Eric Gordon,http://www.basketball-reference.com/players/g/gordoer01.html
maxieja01,"Maxiell,Jason",Jason Maxiell,http://www.basketball-reference.com/players/m/maxieja01.html
morroan01,"Morrow,Anthony",Anthony Morrow,http://www.basketball-reference.com/players/m/morroan01.html
chandwi01,"Chandler,Wilson",Wilson Chandler,http://www.basketball-reference.com/players/c/chandwi01.html
alstora01,"Alston,Rafer",Rafer Alston,http://www.basketball-reference.com/players/a/alstora01.html
mohamna01,"Mohammed,Nazr",Nazr Mohammed,http://www.basketball-reference.com/players/m/mohamna01.html
belinma01,"Belinelli,Marco",Marco Belinelli,http://www.basketball-reference.com/players/b/belinma01.html
evansma01,"Evans,Maurice",Maurice Evans,http://www.basketball-reference.com/players/e/evansma01.html
gomesry01,"Gomes,Ryan",Ryan Gomes,http://www.basketball-reference.com/players/g/gomesry01.html
holidjr01,"Holiday,Jrue",Jrue Holiday,http://www.basketball-reference.com/players/h/holidjr01.html
nocioan01,"Nocioni,Andres",Andres Nocioni,http://www.basketball-reference.com/players/n/nocioan01.html
blatcan01,"Blatche,Andray",Andray Blatche,http://www.basketball-reference.com/players/b/blatcan01.html
finlemi01,"Finley,Michael",Michael Finley,http://www.basketball-reference.com/players/f/finlemi01.html
hansbty01,"Hansbrough,Tyler",Tyler Hansbrough,http://www.basketball-reference.com/players/h/hansbty01.html
milescj01,"Miles,C.J.",C.J. Miles,http://www.basketball-reference.com/players/m/milescj01.html
speigma01,"Speights,Marreese",Marreese Speights,http://www.basketball-reference.com/players/s/speigma01.html
turiaro01,"Turiaf,Ronny",Ronny Turiaf,http://www.basketball-reference.com/players/t/turiaro01.html
blairde01,"Blair,DeJuan",DeJuan Blair,http://www.basketball-reference.com/players/b/blairde01.html
boganke01,"Bogans,Keith",Keith Bogans,http://www.basketball-reference.com/players/b/boganke01.html
hawessp01,"Hawes,Spencer",Spencer Hawes,http://www.basketball-reference.com/players/h/hawessp01.html
thomptr01,"Thompson,Tristan",Tristan Thompson,http://www.basketball-reference.com/players/t/thomptr01.html
valanjo01,"Valanciunas,Jonas",Jonas Valanciunas,http://www.basketball-reference.com/players/v/valanjo01.html
vucevni01,"Vucevic,Nikola",Nikola Vucevic,http://www.basketball-reference.com/players/v/vucevni01.html
livinsh01,"Livingston,Shaun",Shaun Livingston,http://www.basketball-reference.com/players/l/livinsh01.html
pekovni01,"Pekovic,Nikola",Nikola Pekovic,http://www.basketball-reference.com/players/p/pekovni01.html
bargnan01,"Bargnani,Andrea",Andrea Bargnani,http://www.basketball-reference.com/players/b/bargnan01.html
davisgl01,"Davis,Glen",Glen Davis,http://www.basketball-reference.com/players/d/davisgl01.html
evansre01,"Evans,Reggie",Reggie Evans,http://www.basketball-reference.com/players/e/evansre01.html
mcgeeja01,"McGee,JaVale",JaVale McGee,http://www.basketball-reference.com/players/m/mcgeeja01.html
mbahalu01,"Mbah a Moute,Luc",Luc Mbah a Moute,http://www.basketball-reference.com/players/m/mbahalu01.html
asikom01,"Asik,Omer",Omer Asik,http://www.basketball-reference.com/players/a/asikom01.html
garcifr01,"Garcia,Francisco",Francisco Garcia,http://www.basketball-reference.com/players/g/garcifr01.html
pattepa01,"Patterson,Patrick",Patrick Patterson,http://www.basketball-reference.com/players/p/pattepa01.html
brookaa01,"Brooks,Aaron",Aaron Brooks,http://www.basketball-reference.com/players/b/brookaa01.html
thornma01,"Thornton,Marcus",Marcus Thornton,http://www.basketball-reference.com/players/t/thornma01.html
koufoko01,"Koufos,Kosta",Kosta Koufos,http://www.basketball-reference.com/players/k/koufoko01.html
mcrobjo01,"McRoberts,Josh",Josh McRoberts,http://www.basketball-reference.com/players/m/mcrobjo01.html
krstine01,"Krstic,Nenad",Nenad Krstic,http://www.basketball-reference.com/players/k/krstine01.html
carrode01,"Carroll,DeMarre",DeMarre Carroll,http://www.basketball-reference.com/players/c/carrode01.html
szczewa02,"Szczerbiak,Wally",Wally Szczerbiak,http://www.basketball-reference.com/players/s/szczewa02.html
bowenbr01,"Bowen,Bruce",Bruce Bowen,http://www.basketball-reference.com/players/b/bowenbr01.html
breweco01,"Brewer,Corey",Corey Brewer,http://www.basketball-reference.com/players/b/breweco01.html
fordtj01,"Ford,T.J.",T.J. Ford,http://www.basketball-reference.com/players/f/fordtj01.html
butlera01,"Butler,Rasual",Rasual Butler,http://www.basketball-reference.com/players/b/butlera01.html
pietrmi01,"Pietrus,Mickael",Mickael Pietrus,http://www.basketball-reference.com/players/p/pietrmi01.html
gibsoda01,"Gibson,Daniel",Daniel Gibson,http://www.basketball-reference.com/players/g/gibsoda01.html
smithcr01,"Smith,Craig",Craig Smith,http://www.basketball-reference.com/players/s/smithcr01.html
willija02,"Williams,Jason",Jason Williams,http://www.basketball-reference.com/players/w/willija02.html
booketr01,"Booker,Trevor",Trevor Booker,http://www.basketball-reference.com/players/b/booketr01.html
linje01,"Lin,Jeremy",Jeremy Lin,http://www.basketball-reference.com/players/l/linje01.html
przybjo01,"Przybilla,Joel",Joel Przybilla,http://www.basketball-reference.com/players/p/przybjo01.html
daniean01,"Daniels,Antonio",Antonio Daniels,http://www.basketball-reference.com/players/d/daniean01.html
houseed01,"House,Eddie",Eddie House,http://www.basketball-reference.com/players/h/houseed01.html
cunnida01,"Cunningham,Dante",Dante Cunningham,http://www.basketball-reference.com/players/c/cunnida01.html
bayleje01,"Bayless,Jerryd",Jerryd Bayless,http://www.basketball-reference.com/players/b/bayleje01.html
bledser01,"Bledsoe,Eric",Eric Bledsoe,http://www.basketball-reference.com/players/b/bledser01.html
outlatr01,"Outlaw,Travis",Travis Outlaw,http://www.basketball-reference.com/players/o/outlatr01.html
doolike01,"Dooling,Keyon",Keyon Dooling,http://www.basketball-reference.com/players/d/doolike01.html
barrybr01,"Barry,Brent",Brent Barry,http://www.basketball-reference.com/players/b/barrybr01.html
richaqu01,"Richardson,Quentin",Quentin Richardson,http://www.basketball-reference.com/players/r/richaqu01.html
bareajo01,"Barea,J.J.",J.J. Barea,http://www.basketball-reference.com/players/b/bareajo01.html
headlu01,"Head,Luther",Luther Head,http://www.basketball-reference.com/players/h/headlu01.html
nestera01,"Nesterovic,Rasho",Rasho Nesterovic,http://www.basketball-reference.com/players/n/nestera01.html
walkeke02,"Walker,Kemba",Kemba Walker,http://www.basketball-reference.com/players/w/walkeke02.html
anthojo01,"Anthony,Joel",Joel Anthony,http://www.basketball-reference.com/players/a/anthojo01.html
