Player,Sim,1,2,3,4,5,6,7,8
Roy Hibbert,,6.2,6.1,5.4,4.2,4.1,3.6,2.2,2.1
Joe Barry Carroll,91.0,7.0,5.7,5.5,4.7,4.6,3.4,2.3,1.6
Steve Hawes,90.9,6.1,6.0,5.7,5.4,3.4,3.2,2.5,1.9
Darryl Dawkins,90.1,6.4,6.3,5.7,4.6,4.0,2.9,2.1,0.1
Mark Eaton,88.8,6.6,5.4,5.3,4.1,4.0,3.7,3.6,0.8
Rick Mahorn,88.8,6.2,5.9,5.9,4.8,3.6,2.5,1.8,1.3
Wayne Embry,87.8,6.7,6.3,5.6,4.5,3.4,2.0,1.9,1.5
LaSalle Thompson,87.8,5.6,5.3,4.9,4.5,4.4,2.4,2.3,1.9
Rich Kelley,85.9,8.6,6.4,4.8,4.3,4.3,4.3,2.5,2.4
Jim Chones,85.4,6.4,6.2,6.0,5.9,5.8,3.5,3.3,2.6
Ervin Johnson,85.0,6.4,5.2,5.1,4.9,3.9,3.0,1.3,0.7
