Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Roy Hibbert,,6.2,6.1,5.4,4.2,4.1,3.6,2.2,2.1,,,,,,,
Joe Barry Carroll,89.6,7.0,5.7,5.5,4.7,4.6,3.4,2.3,1.6,0.7,0.0,,,,,
Wayne Embry,86.0,6.7,6.3,5.6,4.5,3.4,3.4,2.0,1.9,1.5,1.2,1.1,,,,
Steve Hawes,85.8,6.1,6.0,5.7,5.4,3.4,3.2,2.5,1.9,1.8,1.0,,,,,
Connie Simmons,84.3,6.1,5.7,5.3,3.3,2.6,2.5,2.4,1.1,0.1,,,,,,
Jim Fox,82.4,6.6,6.4,6.1,5.6,4.6,3.9,3.4,2.4,2.2,0.6,,,,,
Ervin Johnson,82.3,6.4,5.2,5.1,4.9,3.9,3.0,2.3,2.3,1.9,1.3,0.8,0.7,0.0,,
Greg Ostertag,81.4,5.9,5.0,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7,,,,
Kelvin Cato,80.7,5.3,4.6,4.3,4.2,3.8,2.7,1.7,1.6,0.3,0.1,,,,,
LaSalle Thompson,80.4,5.6,5.3,4.9,4.5,4.4,2.4,2.3,1.9,1.6,1.2,0.9,0.2,0.1,0.0,-0.3
Rony Seikaly,79.7,6.8,6.7,6.5,6.2,3.2,3.0,2.7,2.3,0.7,-0.3,-0.5,,,,
