Blocks Per Game
2011-12 NBA 2.0 (5th)
2012-13 NBA 2.6 (4th)
2013-14 NBA 2.2 (4th)
Active 1.7 (6th)
Career NBA 1.7 (32nd)
Career 1.7 (33rd)
