Player,Sim,1,2,3,4,5,6,7,8,9
Keith Van Horn,,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8,2.3
Thaddeus Young,94.8,7.4,6.3,6.2,5.5,4.5,4.1,3.5,3.1,2.1
Junior Bridgeman,93.8,6.7,6.1,5.5,5.1,4.8,4.0,3.6,2.6,2.1
Joe Smith,93.1,6.8,6.3,6.1,4.7,4.4,4.4,3.7,3.0,2.6
Terry Tyler,92.1,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9
Purvis Short,91.9,6.2,6.0,5.7,5.4,5.2,5.0,3.7,2.6,2.2
John Salley,91.5,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5
Wayman Tisdale,91.1,7.0,5.9,5.7,5.6,5.4,4.5,3.4,3.2,1.8
Eddie Johnson,90.8,7.4,6.5,5.6,5.3,4.3,4.0,3.9,3.0,1.8
Thurl Bailey,90.8,6.8,6.5,5.4,4.6,4.0,3.7,3.6,3.1,2.6
Robert Horry,90.7,6.6,5.9,5.7,4.9,4.2,3.6,2.9,2.6,1.7
