Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2001-02,26,SEA,NBA,SG,3,38,.429,14.2,.714,.214,.214,.071,.214,.286,.400,.667,.333,.000,.333,.500,.000,.000,0,.500,.000,,0,0
2003-04,28,NOH,NBA,PG,3,18,.400,7.2,.800,.600,.000,.200,.000,.200,.500,.667,,.000,,.000,.000,.000,0,,.000,,0,0
2006-07,31,LAL,NBA,PG,4,80,.400,16.6,.600,.250,.050,.000,.300,.400,.500,.600,.000,,.500,.250,.333,.000,0,.500,.125,.000,0,0
