3-Pt Field Goals
2012-13 NBA 211 (3rd)
2013-14 NBA 223 (2nd)
2014-15 NBA 239 (2nd)
2015-16 NBA 276 (2nd)
2016-17 NBA 152 (5th)
Career NBA 1212 (53rd)
Career 1212 (53rd)
