Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Sebastian Telfair,,1.1,0.8,0.8,0.7,0.6,0.5,0.4,0.3,0.1,-0.4,
Royal Ivey,76.2,1.0,0.9,0.7,0.6,0.5,0.3,0.2,0.2,0.2,0.0,
Brook Steppe,59.6,1.3,1.1,1.0,0.7,0.6,,,,,,
Howard Komives,55.5,1.5,1.4,1.0,0.9,0.7,0.3,0.2,0.1,-0.1,-0.8,
John Wetzel,54.6,2.0,1.5,1.1,0.7,0.5,0.5,0.4,,,,
Rex Walters,52.5,1.6,1.6,1.2,0.9,0.5,0.4,0.3,,,,
Ronnie Price,49.5,1.4,1.1,0.9,0.7,0.4,0.1,0.1,0.1,-0.1,-0.2,-0.7
John Warren,49.1,1.7,0.9,0.8,0.5,0.3,,,,,,
Mitchell Butler,45.0,1.1,0.6,0.5,0.5,0.3,0.1,0.1,-0.2,,,
Pat Riley,44.7,1.3,1.1,1.0,1.0,0.6,0.3,0.0,-0.3,-0.6,,
Kevin McKenna,42.3,1.7,0.9,0.7,0.6,0.5,-0.3,,,,,
