Player,Sim,1,2,3,4,5,6,7,8,9,10
Didier Ilunga-Mbenga,,0.6,0.5,0.5,0.4,0.3,0.1,0.0,,,
Eric Riley,88.9,0.7,0.6,0.5,0.4,0.3,,,,,
Steve Scheffler,79.8,0.7,0.6,0.6,0.4,0.4,0.3,0.0,,,
Todd Fuller,60.0,0.7,0.7,0.6,0.2,0.0,,,,,
Greg Dreiling,56.1,1.1,0.6,0.6,0.5,0.4,0.4,0.2,0.2,0.1,0.1
Hamed Haddadi,53.0,0.6,0.6,0.4,0.1,0.0,,,,,
Eric Fernsten,52.5,1.2,1.0,0.5,0.5,0.2,0.0,,,,
Mamadou N'Diaye,49.7,0.8,0.6,0.3,0.2,0.0,,,,,
Roger Brown,47.5,0.9,0.7,0.4,0.2,0.1,,,,,
Dave Feitl,45.6,0.5,0.4,0.3,0.2,0.1,,,,,
Dave Newmark,43.5,0.8,0.7,0.4,,,,,,,
