Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
John Salmons,,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.7,1.6,1.4,0.6,0.4,0.1,
Raja Bell,94.1,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.7,1.1,1.1,0.5,-0.1,,
Travis Best,88.1,7.2,5.1,4.1,3.4,3.3,2.5,2.1,1.8,0.7,0.7,,,,
Leandro Barbosa,88.0,8.2,5.5,5.0,3.8,2.8,2.1,1.9,1.8,1.7,1.5,1.1,0.9,0.4,
Jon Barry,87.8,7.5,5.6,4.2,3.9,2.8,2.4,2.4,2.4,2.1,1.8,1.1,0.9,0.4,-0.1
Beno Udrih,87.7,7.2,5.5,3.6,3.1,2.4,2.2,1.4,1.3,1.2,1.0,0.8,0.4,,
Charlie Ward,87.3,7.1,5.5,3.9,3.7,3.6,3.1,2.9,1.9,1.0,0.5,-0.2,,,
Raymond Felton,87.0,6.5,5.4,4.3,4.2,3.4,2.7,2.6,2.3,2.2,1.7,0.2,,,
Gerald Henderson,86.8,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0.0,
Thabo Sefolosha,86.0,6.8,4.5,4.1,4.0,3.0,2.5,2.2,1.8,1.5,0.8,,,,
Adrian Smith,85.8,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,1.5,0.8,0.5,,,
