Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Gerald Green,,6.1,1.9,1.7,1.6,1.3,1.2,0.5,0.0,-0.4,,
Malik Sealy,71.5,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2,,,
Derek Smith,69.9,8.0,2.9,2.6,1.6,1.5,0.9,0.8,0.0,0.0,,
Fred Carter,69.9,4.7,3.3,2.3,1.8,1.3,1.3,0.4,-0.3,,,
Ray Lumpp,69.8,6.7,3.3,2.0,1.9,1.7,,,,,,
John Barnhill,69.2,4.6,2.5,1.7,1.1,1.0,1.0,0.7,0.4,0.3,-0.4,
Scott Burrell,68.6,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,,,
Kevin Edwards,68.1,5.1,2.5,2.4,1.6,0.6,0.5,0.3,0.1,-0.1,-0.2,-0.2
Moochie Norris,68.0,4.4,1.8,1.7,1.7,0.8,0.3,-0.1,-0.2,-0.4,,
Brent Price,67.3,7.4,2.2,1.6,0.7,0.7,0.1,0.0,0.0,-0.6,,
Evan Fournier,66.7,5.7,2.1,1.4,1.0,,,,,,,
