Player,Sim,1,2,3,4,5,6,7,8,9,10
Jake Tsakalidis,,2.8,2.8,1.3,1.2,0.9,0.6,0.3,,,
Steven Hunter,83.7,2.8,2.6,2.5,1.0,0.9,0.6,0.1,0.1,,
Hub Reed,82.4,2.8,2.0,1.7,1.3,1.0,0.6,0.0,,,
Francisco Elson,79.6,3.1,2.9,1.8,1.8,1.6,0.6,0.0,0.0,0.0,
Jim Krebs,75.5,4.2,2.8,1.5,1.3,1.3,1.2,0.1,,,
Jim McIlvaine,75.1,3.0,1.9,1.8,1.5,0.8,0.3,0.1,,,
Jake Voskuhl,74.9,3.3,2.7,2.5,1.7,1.0,0.6,0.2,0.0,-0.3,
Zeljko Rebraca,74.2,3.3,2.4,1.3,0.7,0.5,,,,,
Connie Dierking,73.0,4.2,3.0,1.5,1.4,1.0,0.7,0.5,0.5,0.3,0.1
Gene Wiley,72.7,2.8,2.4,1.8,1.3,-0.1,,,,,
Cherokee Parks,71.5,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0.1,0.0,
