Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Al Jefferson,,7.8,7.8,7.7,7.7,7.5,6.6,4.9,4.7,4.6,2.8,2.7,2.3
Alvan Adams,90.5,7.7,7.6,7.2,7.2,7.0,6.8,6.5,6.3,4.9,3.9,3.3,2.8
Billy Paultz,86.3,9.0,8.9,8.7,8.6,7.0,5.6,5.3,5.1,5.0,4.0,2.7,0.1
Red Kerr,85.5,8.7,7.8,7.7,5.8,5.4,5.0,4.9,4.6,3.9,3.8,3.1,0.9
Vlade Divac,85.4,9.5,8.3,7.4,7.4,7.3,7.2,6.1,5.9,5.6,5.2,5.0,1.8
Brad Miller,85.2,10.0,9.6,9.1,8.6,8.3,6.5,5.1,4.0,3.8,3.4,2.7,2.1
Elden Campbell,85.0,8.2,7.6,7.0,6.4,5.5,4.7,4.3,4.2,3.8,3.3,2.6,1.1
Nate Thurmond,85.0,9.9,9.0,7.2,7.2,6.5,6.1,6.0,5.2,4.7,4.3,3.7,3.5
Zydrunas Ilgauskas,84.7,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5.0,2.5,2.5,0.7,0.5
Jim Eakins,83.4,9.0,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9,,
Mychal Thompson,83.1,8.2,6.9,6.1,5.4,5.3,5.2,4.7,4.6,4.4,3.7,2.6,2.1
