Defensive Rebound Pct
2006-07 NBA 27.4 (6th)
2011-12 NBA 25.3 (9th)
2013-14 NBA 28.3 (5th)
Active 25.0 (8th)
Career NBA 25.0 (18th)
Career 25.0 (20th)
