2-Pt Field Goals
2007-08 NBA 721 (1st)
2010-11 NBA 654 (5th)
2011-12 NBA 515 (4th)
2012-13 NBA 609 (3rd)
2013-14 NBA 697 (2nd)
Active 5991 (10th)
Career NBA 5991 (90th)
Career 5991 (96th)
