Player,Sim,1,2,3,4,5,6,7
Jamario Moon,,5.7,4.9,2.9,1.1,-0.3,,
Bob Lavoy,88.2,5.8,5.8,3.4,1.0,,,
Ed Ratleff,87.1,5.6,4.5,2.1,1.0,0.5,,
Walt Budko,86.7,5.6,4.0,2.7,1.5,,,
Stan McKenzie,84.6,6.1,5.3,2.4,0.6,0.2,0.1,-0.1
Leo Barnhorst,82.9,4.7,4.6,3.6,1.3,,,
Randolph Mahaffey,82.7,5.7,4.7,3.7,2.6,,,
Khris Middleton,81.9,6.7,6.1,2.7,0.9,,,
Marcus Morris,81.1,5.4,4.2,4.0,1.8,-0.2,,
P.J. Tucker,81.0,6.1,4.9,3.5,2.9,0.1,,
Harrison Barnes,79.8,6.7,4.9,3.2,2.8,,,
