Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Mark Blount,,6.5,2.8,2.8,1.9,1.7,1.7,0.7,0.7,-0.1,,,,
Ian Mahinmi,85.5,6.2,3.4,3.3,2.3,2.1,1.8,0.7,0.2,,,,,
Zaid Abdul-Aziz,82.2,6.5,3.7,2.0,1.9,1.8,1.0,0.6,0.3,0.1,-0.3,,,
Dale Schlueter,81.7,6.3,4.4,3.0,2.0,1.6,1.2,1.1,1.1,0.1,0.0,,,
Joel Przybilla,75.8,6.6,4.7,4.3,2.3,1.9,1.4,0.6,0.5,0.3,0.3,0.1,0.1,0.0
Kosta Koufos,75.6,6.5,3.5,3.5,3.3,2.7,1.3,0.2,0.0,,,,,
Randy Breuer,75.0,5.1,4.5,3.0,2.4,2.0,1.7,1.0,0.9,0.3,0.1,0.0,,
Mikki Moore,74.7,5.7,4.6,2.8,2.6,2.2,2.1,1.0,0.6,0.6,0.1,0.1,0.1,0.1
Oliver Miller,74.5,5.3,3.8,3.4,3.1,1.8,1.6,1.4,0.9,0.0,,,,
Dean Garrett,74.0,6.2,2.9,2.2,1.9,1.0,-0.1,,,,,,,
Duane Causwell,73.3,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0.0,0.0,,
