Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,467,5657,.437,23.5,.221,.009,.008,.016,.188,.779,.463,.563,.538,.429,.458,.430,.807,.000,0,.972,.287,.469,1,0
2 seasons,,NYK,NBA,,135,2661,.442,23.7,.175,.004,.007,.009,.155,.825,.425,.667,.400,.143,.437,.445,.789,.000,0,.979,.330,.464,0,0
2 seasons,,LAC,NBA,,125,1523,.433,23.4,.292,.014,.006,.024,.248,.708,.524,.714,.667,.583,.504,.395,.831,.000,0,.986,.213,.461,1,0
2 seasons,,HOU,NBA,,70,455,.441,22.9,.276,.033,.007,.020,.217,.724,.476,.400,1.000,.667,.455,.427,.900,.000,0,.915,.218,.458,0,0
1 season,,TOR,NBA,,54,540,.411,23.8,.164,.007,.014,.007,.137,.836,.333,.000,.000,.000,.400,.426,.500,.000,0,.923,.287,.400,0,0
1 season,,SAS,NBA,,23,197,.525,22.9,.288,.000,.017,.068,.203,.712,.471,,1.000,.250,.500,.548,.750,.000,0,1.000,.405,.647,0,0
1 season,,UTA,NBA,,22,109,.457,25.1,.057,.000,.000,.000,.057,.943,.000,,,,.000,.485,,.000,0,1.000,.182,.500,0,0
2 seasons,,OKC,NBA,,20,112,.364,23.1,.273,.000,.000,.030,.242,.727,.444,,,1.000,.375,.333,.750,.000,0,1.000,.500,.417,0,0
2 seasons,,MIL,NBA,,11,42,.308,24.1,.077,.000,.077,.000,.000,.923,1.000,,1.000,,,.250,1.000,.000,0,1.000,.167,1.000,0,0
1 season,,DAL,NBA,,7,18,.500,22.6,.500,.000,.000,.000,.500,.500,.250,,,,.250,.750,1.000,.000,0,1.000,.750,.667,0,0
