Points Per Game
2004-05 NBA 26.0 (5th)
2007-08 NBA 25.2 (5th)
2009-10 NBA 23.1 (10th)
2010-11 NBA 25.3 (6th)
Career NBA 18.9 (79th)
Career 18.9 (86th)
