Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,22,PHO,NBA,C,1,0,20:00,3,11,.273,0,0,,0,2,.000,4,9,2,1,0,1,2,6
2006-07,24,PHO,NBA,C,1,0,21:21,14,22,.636,0,1,.000,1,1,1.000,6,9,3,1,2,1,5,29
2007-08,25,PHO,NBA,C,1,0,23:07,8,11,.727,1,2,.500,1,3,.333,0,5,0,1,1,1,2,18
2008-09,26,PHO,NBA,PF,1,1,24:36,7,10,.700,0,0,,5,6,.833,3,6,0,0,0,2,1,19
2009-10,27,PHO,NBA,PF,1,1,19:57,5,10,.500,0,0,,2,2,1.000,3,10,0,1,0,2,0,12
2010-11,28,NYK,NBA,C,1,1,28:04,11,20,.550,1,2,.500,6,6,1.000,3,6,2,0,1,1,0,29
