True Shooting Pct
2004-05 NBA .617 (2nd)
2006-07 NBA .637 (3rd)
2007-08 NBA .656 (1st)
2008-09 NBA .617 (7th)
2009-10 NBA .615 (5th)
Career NBA .597 (23rd)
Career .597 (24th)
