2-Pt Field Goal Pct
2004-05 NBA .564 (2nd)
2006-07 NBA .577 (5th)
2007-08 NBA .601 (4th)
2009-10 NBA .559 (8th)
Career NBA .540 (35th)
Career .540 (36th)
