Field Goal Pct
2004-05 NBA .559 (2nd)
2006-07 NBA .575 (5th)
2007-08 NBA .590 (5th)
2008-09 NBA .539 (9th)
2009-10 NBA .557 (7th)
2013-14 NBA .557 (6th)
Career NBA .537 (30th)
Career .537 (30th)
