Free Throw Attempts
2004-05 NBA 795 (1st)
2006-07 NBA 585 (9th)
2007-08 NBA 691 (5th)
2009-10 NBA 632 (5th)
2010-11 NBA 597 (9th)
Career NBA 5444 (63rd)
Career 5444 (69th)
