Player,Sim,1,2,3,4,5,6
Kentavious Caldwell-Pope,,5.3,2.8,1.8,,,
Michael Dickerson,89.8,5.5,2.2,1.8,0.1,-0.1,
Don Carlson,87.0,5.8,2.8,2.6,0.2,,
Victor Oladipo,84.5,4.9,3.5,1.3,,,
Matt Maloney,81.5,5.3,2.2,1.5,0.7,0.1,-0.3
Butch Van Breda Kolff,80.6,4.4,2.5,2.3,0.2,,
Gene Vance,80.0,5.3,2.2,1.6,1.3,0.0,
Walt Kirk,76.0,5.0,2.3,0.4,,,
Earl Tatum,75.8,4.4,2.6,0.7,0.0,,
Al Smith,75.5,4.5,3.3,1.8,0.9,0.6,
Evan Fournier,75.3,5.7,2.1,1.4,1.0,,
