Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Pat Garrity,,5.1,4.9,2.8,2.5,1.2,1.1,1.1,0.2,0.0,-0.2,
Corey Brewer,89.0,5.2,3.9,3.1,2.3,1.2,1.1,1.0,0.3,-0.2,,
Luc Mbah a Moute,86.1,4.8,4.7,4.0,2.4,1.6,1.1,1.0,0.5,,,
Donald Royal,83.5,5.1,3.8,3.6,2.3,1.6,1.3,1.0,0.4,,,
Fred Hetzel,83.1,5.1,4.5,2.9,2.0,0.9,0.5,,,,,
Lamond Murray,80.9,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3
Luke Jackson,80.6,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8,,,
Paul Griffin,80.4,4.9,4.4,4.1,2.9,1.6,1.4,0.4,,,,
Kenny Walker,80.0,4.7,4.0,3.1,2.7,1.9,1.3,0.1,,,,
Buck Johnson,79.9,6.2,4.6,3.6,2.3,2.1,1.2,0.7,,,,
Earl Lloyd,79.7,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,,
