Player,Sim,1,2,3,4,5,6,7,8
Goran Dragic,,10.3,6.8,5.7,5.1,4.7,2.8,1.0,0.1
Phil Smith,88.9,9.4,7.0,6.3,5.2,4.8,2.9,2.2,1.6
Steve Jones,87.0,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1
Kyrie Irving,86.9,10.4,6.7,5.3,5.0,4.1,,,
Kyle Lowry,86.6,11.7,7.0,5.6,4.9,4.3,3.6,3.4,0.5
Dick Snyder,86.3,10.0,8.0,6.2,6.0,4.1,3.7,1.8,0.6
Kyle Macy,86.2,9.2,6.4,5.0,4.6,4.5,3.9,2.4,
Mike Newlin,86.1,8.5,5.9,5.8,5.2,4.7,2.9,1.8,1.6
Warren Jabali,86.0,10.7,7.3,5.8,3.5,3.2,2.6,2.1,
Brian Taylor,86.0,8.3,7.9,5.6,5.3,4.8,3.6,1.8,0.1
Wesley Person,85.6,10.3,6.9,5.2,4.0,3.8,3.7,2.6,1.2
