Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Goran Dragic,,10.3,6.8,5.7,5.1,4.7,2.8,1.0,0.1,,,,
Kyrie Irving,86.9,10.4,6.7,5.3,5.0,4.1,,,,,,,
Don Chaney,86.5,8.7,6.3,5.9,5.8,5.1,2.9,0.8,0.6,0.4,0.3,-0.1,-0.5
Kyle Macy,86.2,9.2,6.4,5.0,4.6,4.5,3.9,2.4,,,,,
Phil Smith,86.1,9.4,7.0,6.3,5.2,4.8,2.9,2.2,1.7,1.6,,,
Warren Jabali,86.0,10.7,7.3,5.8,3.5,3.2,2.6,2.1,,,,,
Steve Jones,85.6,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8,,,
Micheal Ray Richardson,85.4,8.7,6.9,6.0,5.5,3.3,2.4,2.0,0.3,,,,
Chuck Williams,84.5,10.0,6.1,4.7,3.8,3.2,3.0,1.3,0.6,,,,
Doug Collins,83.9,10.0,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,,,,
Isaiah Thomas,83.8,9.7,7.7,6.1,5.0,4.3,,,,,,,
