Player,Sim,1,2,3,4,5
Walter Herrmann,,2.4,1.0,0.7,,
Grady Lewis,94.9,2.4,1.1,0.8,,
Marty Byrnes,89.3,2.3,1.0,0.9,0.0,
Charles Jones,86.0,2.9,0.9,0.6,0.1,
Kenny Fields,84.6,2.8,0.7,0.7,0.0,
Derrick Brown,82.9,2.3,1.3,1.0,,
Bob Quick,82.8,2.6,0.8,0.6,0.3,
Joe Kopicki,81.4,1.9,0.9,0.7,,
Dennis Hamilton,80.9,2.8,0.7,0.5,0.0,
Jeff Adrien,80.1,2.7,1.0,0.4,0.2,0.1
Dick Schulz,79.6,2.9,0.8,0.6,0.0,
