Player,Sim,1,2,3,4,5,6,7
Danny Green,,7.8,5.9,4.5,4.2,4.2,0.2,0.1
Mike Woodson,92.7,7.8,5.7,4.2,4.2,4.0,0.9,0.9
Vinnie Johnson,90.9,7.7,5.9,4.7,4.2,4.1,2.7,0.2
John Lucas,90.3,7.9,5.9,5.2,4.8,3.9,1.3,0.4
Eric Murdock,87.8,7.2,6.1,4.3,4.1,2.5,0.6,0.3
Geoff Petrie,86.2,6.2,5.4,5.3,4.6,4.5,0.1,
Dick Garmaker,85.7,7.5,4.7,4.6,4.4,3.1,1.3,
Jim Barnett,85.6,6.1,5.4,4.8,4.7,3.7,0.3,0.0
Lindsey Hunter,84.5,6.4,5.6,4.0,4.0,3.9,-0.3,-0.8
Willie Anderson,84.3,6.5,5.6,4.9,4.8,3.3,0.7,-0.1
Paul Neumann,84.1,6.5,5.8,4.6,4.2,4.0,3.2,
