Player,Sim,1,2,3,4,5,6,7,8,9,10
Danny Green,,7.8,5.9,4.5,4.2,4.2,0.2,0.1,,,
Eric Murdock,86.4,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1,
Geoff Petrie,86.2,6.2,5.4,5.3,4.6,4.5,0.1,,,,
Dick Garmaker,85.7,7.5,4.7,4.6,4.4,3.1,1.3,,,,
Paul Neumann,84.1,6.5,5.8,4.6,4.2,4.0,3.2,,,,
Ronnie Brewer,83.4,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0.0,,
Larry Brown,82.4,6.6,5.8,5.1,5.0,2.4,,,,,
Scott Skiles,82.0,8.0,7.0,4.5,4.4,3.2,2.0,1.3,0.3,0.1,-0.2
Josh Childress,81.5,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0.0,,
Kyrie Irving,81.2,10.4,6.7,5.3,5.0,4.1,,,,,
Jeff Teague,80.8,7.7,6.1,6.0,5.9,5.2,1.7,0.6,,,
