Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,1005,354,15891,5.4,11.2,.486,0.0,0.0,.000,5.4,11.2,.487,2.3,3.6,.640,4.1,6.6,10.7,0.8,1.0,1.4,2.1,4.9,13.2
4 seasons,,CHA,NBA,,209,89,3598,6.3,12.3,.515,0.0,0.0,.000,6.3,12.3,.515,2.4,3.9,.614,4.1,6.5,10.6,1.2,0.7,1.6,2.2,4.8,15.0
4 seasons,,ATL,NBA,,198,93,4267,5.6,12.1,.467,0.0,0.0,.000,5.6,12.1,.468,2.6,4.0,.652,4.1,6.9,11.0,0.6,1.0,1.2,2.1,4.4,13.9
3 seasons,,CHI,NBA,,166,13,1383,3.5,8.7,.396,0.0,0.1,.000,3.5,8.7,.398,1.3,2.1,.638,3.9,6.7,10.6,1.3,1.0,1.7,1.8,4.9,8.3
2 seasons,,SAS,NBA,,103,35,1803,4.9,10.4,.472,0.0,0.0,,4.9,10.4,.472,2.9,4.0,.725,4.8,6.5,11.3,1.0,0.5,1.6,2.4,5.7,12.7
3 seasons,,OKC,NBA,,92,8,1140,5.0,9.6,.515,0.0,0.0,.000,5.0,9.6,.516,0.9,1.5,.612,3.3,5.8,9.2,0.6,1.1,1.5,1.5,5.3,10.9
3 seasons,,PHI,NBA,,84,6,507,5.5,13.1,.418,0.0,0.0,,5.5,13.1,.418,2.7,5.0,.535,3.7,6.4,10.1,0.4,1.1,1.6,2.8,6.5,13.6
2 seasons,,NYK,NBA,,81,77,2192,5.6,10.7,.525,0.0,0.0,.000,5.6,10.7,.525,2.5,3.8,.661,4.0,6.6,10.6,0.7,1.4,1.3,2.0,4.2,13.7
2 seasons,,DET,NBA,,72,33,1001,5.3,10.1,.520,0.0,0.0,.000,5.3,10.1,.521,2.3,4.0,.563,4.2,6.6,10.9,0.5,1.2,1.7,1.9,6.1,12.8
