Offensive Rebound Pct
2001-02 NBA 12.7 (7th)
2003-04 NBA 12.8 (3rd)
2004-05 NBA 14.9 (4th)
2007-08 NBA 13.5 (5th)
Active 13.3 (1st)
Career NBA 13.3 (8th)
Career 13.3 (8th)
