Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Matt Harpring,,8.8,6.1,5.5,4.7,4.7,2.8,2.8,2.6,2.6,1.2,0.2,,
Cedric Ceballos,88.3,9.8,6.2,5.5,5.2,4.0,2.8,2.4,1.3,1.3,1.3,0.4,,
Ed Pinckney,88.0,7.5,6.2,6.1,4.7,4.0,3.7,2.9,2.7,2.3,1.6,0.7,0.3,
Jeff Foster,86.4,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3.0,2.7,1.6,0.6,0.4,0.4
Terry Tyler,85.4,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9,1.2,1.2,,
Luis Scola,85.4,8.6,6.5,6.3,5.5,4.4,4.4,3.4,3.3,2.5,,,,
Bill Bradley,84.9,7.0,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1,0.8,,,
Junior Bridgeman,84.8,6.7,6.1,5.5,5.1,4.8,4.0,3.6,3.1,2.6,2.1,0.8,0.6,
Antoine Walker,84.2,6.7,6.6,5.0,4.7,3.9,3.6,2.6,2.6,1.7,0.9,0.1,-0.3,
Joe Caldwell,84.0,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2.0,1.1,0.3,,
Cliff Levingston,83.9,7.0,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2.0,1.3,0.5,,
