Player,Sim,1,2,3,4,5,6
Kelenna Azubuike,,4.1,3.4,1.2,0.7,-0.1,
Rick Mount,87.6,4.6,3.5,1.1,0.7,0.6,
Pep Saul,83.6,4.2,2.8,1.5,0.8,0.6,
Freeman Williams,82.6,4.1,4.0,1.8,0.4,-0.1,-0.2
Eddie Robinson,81.1,4.0,3.0,2.2,0.8,0.2,
Victor Oladipo,80.9,4.9,3.5,1.3,,,
Al Smith,80.4,4.5,3.3,1.8,0.9,0.6,
Roger Phegley,79.2,3.7,2.6,1.6,0.8,0.0,-0.1
Keith Jennings,78.0,4.2,2.9,0.6,,,
Cory Joseph,77.0,4.5,3.5,2.9,0.9,0.0,
Khalid Reeves,75.8,3.5,2.5,1.2,1.1,0.1,0.0
