Player,Sim,1,2,3,4,5
Kelenna Azubuike,,4.1,3.4,1.2,0.7,-0.1
Martell Webster,91.9,4.4,3.5,1.3,0.9,0.0
Wali Jones,88.3,4.0,4.0,1.3,0.8,0.3
Rick Mount,87.6,4.6,3.5,1.1,0.7,0.6
Pep Saul,87.5,4.2,2.8,1.5,0.6,
Freeman Williams,83.9,4.1,4.0,1.8,0.4,-0.2
Devean George,83.4,4.2,3.4,2.7,0.7,-0.3
Charlie Bell,83.1,4.0,3.3,2.2,1.3,-0.2
Marco Belinelli,82.7,3.4,2.9,1.2,0.5,0.0
Lee Winfield,82.5,4.5,2.8,1.6,0.5,-0.1
Devin Brown,82.1,3.7,3.5,1.7,1.4,-0.1
