3-Pt Field Goal Pct
2008-09 NBA .467 (1st)
2009-10 NBA .456 (5th)
2010-11 NBA .423 (10th)
2013-14 NBA .451 (3rd)
2014-15 NBA .434 (6th)
Active .418 (4th)
Career NBA .418 (11th)
Career .418 (11th)
