Player,Sim,1,2,3,4,5,6,7,8,9
Devin Brown,,3.7,3.5,2.4,1.7,1.4,0.4,0.1,-0.1,
Charlie Bell,85.7,4.0,3.3,2.2,2.0,1.3,-0.1,-0.2,,
Charlie Criss,85.3,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0.0,
Whitey Skoog,85.2,4.1,3.6,2.9,1.9,1.0,0.7,,,
Daniel Gibson,82.9,4.1,3.8,2.6,2.4,2.0,0.5,0.5,,
Trenton Hassell,82.7,4.0,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1
Geoff Huston,81.6,3.4,3.0,2.6,1.8,1.7,0.0,-0.3,-0.4,
Greivis Vasquez,80.9,3.8,3.6,2.8,2.3,0.5,-0.3,,,
Sasha Vujacic,80.8,3.7,3.6,2.1,2.0,1.8,1.4,1.1,0.2,-0.1
Bob Harrison,80.7,3.5,3.3,2.9,2.2,0.9,0.9,0.0,-0.4,
Al Skinner,80.5,4.9,3.3,2.1,1.8,1.2,0.0,,,
