Player,Sim,1,2,3,4,5,6,7,8
Devin Brown,,3.7,3.5,2.4,1.7,1.4,0.4,0.1,-0.1
Jim King,90.3,3.7,3.5,2.3,1.5,1.3,1.1,0.4,-0.1
Tyronn Lue,87.9,3.7,3.7,2.7,2.1,2.0,0.4,0.3,0.2
Sasha Vujacic,87.0,3.7,3.6,2.1,2.0,1.8,1.4,0.2,-0.1
Charlie Bell,85.7,4.0,3.3,2.2,2.0,1.3,-0.1,-0.2,
Charlie Criss,85.3,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0.0
Whitey Skoog,85.2,4.1,3.6,2.9,1.9,1.0,0.7,,
Trenton Hassell,83.1,4.0,2.7,2.6,2.3,1.5,0.7,0.2,-0.1
Daniel Gibson,82.9,4.1,3.8,2.6,2.4,2.0,0.5,0.5,
Quintin Dailey,82.3,3.7,2.6,2.1,2.0,1.3,1.0,0.1,-0.3
Anthony Johnson,81.9,4.0,3.6,1.8,1.1,0.7,0.4,0.3,-0.2
